TRIP
DATE 2005-07-01 
DECLINATION     0.00
DATA
1.770	-0.010
1.710	0.330
1.670	0.430
1.730	0.430
1.910	0.290
1.910	0.290
1.810	0.630
2.030	0.470
2.110	0.410
2.170	0.490
2.190	0.630
2.130	0.810
2.310	0.650
2.370	0.770
2.330	0.890
2.330	0.950
2.290	1.010
2.290	1.050
2.250	1.070
2.170	1.050
2.110	1.050
2.030	0.990
2.070	0.830
2.150	0.710
POLYLINE BLACK
1.570	0.050
1.570	-0.050
1.530	-0.170
1.450	-0.170
1.370	-0.090
1.370	-0.030
1.350	0.010
1.410	0.110
POLYLINE BLACK
1.410	-1.430
1.510	-1.470
1.690	-1.610
1.730	-1.610
1.690	-1.710
1.630	-1.790
1.570	-1.890
1.570	-1.930
1.450	-2.110
1.390	-2.190
1.270	-2.110
1.030	-1.830
1.050	-1.710
1.110	-1.590
1.310	-1.390
POLYLINE BLACK
1.190	-0.750
1.190	-0.790
1.150	-0.890
1.070	-0.970
0.950	-0.930
0.790	-0.710
0.790	-0.530
0.930	-0.230
POLYLINE BLACK
1.230	-0.870
POLYLINE BLACK
1.270	-0.590
1.290	-0.630
1.270	-0.670
POLYLINE BLACK
0.950	-0.290
0.990	-0.310
1.010	-0.370
1.110	-0.430
1.190	-0.430
1.250	-0.470
1.290	-0.570
POLYLINE BLACK
0.730	-1.690
0.650	-1.590
0.650	-1.550
0.470	-1.410
0.730	-1.010
0.810	-0.950
0.890	-0.950
1.070	-1.170
1.150	-1.350
1.130	-1.430
0.970	-1.570
0.930	-1.570
0.790	-1.710
0.770	-1.750
POLYLINE BLACK
1.010	-1.630
POLYLINE BLACK
0.390	0.090
0.570	0.110
0.650	0.130
0.890	0.050
1.130	-0.050
1.170	-0.090
1.210	-0.090
1.330	-0.210
1.370	-0.210
1.490	-0.430
1.510	-0.570
1.510	-0.670
POLYLINE BLACK
1.450	-0.650
1.470	-0.730
1.510	-0.770
1.530	-0.850
1.590	-0.950
1.610	-1.030
1.690	-1.170
1.710	-1.250
1.810	-1.610
1.810	-1.770
1.830	-1.850
1.830	-1.990
1.810	-2.070
1.810	-2.130
POLYLINE BLACK
0.830	-0.550
0.650	-0.570
0.450	-0.610
0.370	-0.630
0.330	-0.630
0.370	-0.610
POLYLINE BLACK
0.910	-2.350
0.890	-2.270
0.790	-2.070
0.530	-1.770
0.410	-1.670
0.370	-1.670
0.370	-1.630
0.270	-1.530
0.190	-1.450
0.090	-1.270
0.030	-1.190
0.030	-1.050
0.010	-0.970
0.010	-0.890
0.050	-0.710
0.070	-0.470
0.210	-0.270
0.330	0.030
POLYLINE BLACK
1.800	-2.010
1.920	-2.280
2.070	-2.460
2.310	-2.760
2.310	-2.820
2.580	-2.970
2.610	-3.060
POLYLINE BLACK
0.930	-2.310
1.020	-2.490
1.050	-2.640
1.140	-2.820
1.170	-2.940
1.260	-3.150
1.410	-3.330
1.650	-3.630
POLYLINE BLACK
-1.245	1.815

ELEVATION
STATIONS
0.000	0.000	1.1
1.586	-9.906	1.2
4.764	-10.843	1.3
7.251	-10.514	1.4
8.714	-11.187	1.5
9.265	-13.807	1.6
14.314	-13.212	1.7
SHOTS
9.265	-13.807	14.314	-13.212
14.314	-13.212	15.935	-13.204
14.314	-13.212	14.462	-13.200
14.314	-13.212	13.382	-24.627
14.314	-13.212	14.862	-10.432
8.714	-11.187	9.265	-13.807
9.265	-13.807	9.085	-15.728
7.251	-10.514	8.714	-11.187
8.714	-11.187	9.343	-11.133
4.764	-10.843	7.251	-10.514
7.251	-10.514	6.528	-10.526
7.251	-10.514	7.294	-10.290
7.251	-10.514	7.858	-10.577
7.251	-10.514	7.372	-11.956
7.251	-10.514	6.536	-5.652
1.586	-9.906	4.764	-10.843
4.764	-10.843	4.835	-10.857
4.764	-10.843	4.966	-12.829
0.000	0.000	1.586	-9.906
1.586	-9.906	0.886	-9.884
1.586	-9.906	0.231	-9.777
1.586	-9.906	3.131	-10.045
1.586	-9.906	3.323	-10.048
1.586	-9.906	0.275	-9.831
1.586	-9.906	1.539	-11.948
POLYLINE BLACK
26.950	-14.600
26.500	-13.850
27.250	-14.900
27.550	-14.900
28.150	-15.350
POLYLINE BLACK
26.800	-14.600
26.650	-15.350
26.650	-15.800
26.800	-16.100
26.950	-15.800
POLYLINE BLACK
23.950	-11.900
POLYLINE BLACK
23.800	-16.100
25.450	-18.350
25.000	-16.550
25.150	-16.250
26.200	-17.300
26.050	-15.950
25.900	-15.350
25.750	-15.050
25.750	-15.950
26.650	-17.450
26.950	-17.450
POLYLINE BLACK
22.900	-15.200
23.350	-15.950
24.100	-17.900
24.550	-18.650
24.850	-19.400
POLYLINE BLACK
23.650	-17.600
23.200	-17.600
22.900	-17.750
22.750	-18.200
23.050	-19.100
23.650	-19.250
POLYLINE BLACK
21.700	-20.450
22.000	-20.000
22.000	-19.550
21.850	-18.950
22.300	-20.000
22.600	-20.000
POLYLINE BLACK
20.650	-18.950
21.100	-20.000
21.400	-20.600
POLYLINE BLACK
20.350	-19.550
19.600	-19.700
19.300	-19.700
POLYLINE BLACK
19.600	-17.150
19.600	-17.750
20.200	-20.000
20.500	-21.350
POLYLINE BLACK
18.250	-19.100
17.650	-19.100
17.050	-19.550
17.350	-20.300
18.550	-21.200
18.400	-21.650
17.800	-21.800
17.350	-21.650
17.050	-21.950
POLYLINE BLACK
12.200	-24.700
12.600	-24.800
13.000	-24.700
13.200	-24.800
14.100	-24.600
14.300	-24.800
14.500	-24.800
13.800	-24.700
13.400	-24.800
12.900	-24.700
POLYLINE BLACK
9.600	-15.500
10.300	-15.300
10.500	-15.400
11.200	-15.300
11.600	-15.300
11.800	-15.400
12.000	-15.300
12.700	-15.400
13.100	-15.400
POLYLINE BLACK
14.200	-10.600
14.400	-10.500
15.200	-11.000
15.500	-11.400
15.500	-11.700
15.600	-11.900
15.500	-12.100
15.700	-12.700
15.700	-13.400
POLYLINE BLACK
9.100	-11.100
9.900	-11.000
10.300	-11.000
10.700	-10.900
11.300	-10.900
12.200	-10.700
12.800	-10.700
13.000	-10.600
13.200	-10.700
14.400	-10.500
14.800	-10.600
POLYLINE BLACK
7.660	-12.020
8.020	-12.380
8.220	-12.980
8.260	-13.140
8.300	-13.300
8.420	-13.820
8.460	-14.020
8.580	-14.500
8.580	-14.700
8.700	-14.940
8.700	-15.060
8.860	-15.540
9.020	-15.580
9.180	-15.620
9.380	-15.580
9.540	-15.580
9.780	-15.500
9.940	-15.500
POLYLINE BLACK
7.660	-12.020
POLYLINE BLACK
8.520	-9.900
8.640	-10.140
8.640	-10.320
8.880	-10.680
9.120	-10.800
9.300	-11.100
9.300	-11.220
POLYLINE BLACK
7.380	-5.760
7.440	-6.000
7.740	-7.080
7.920	-7.620
7.920	-7.800
8.100	-8.160
8.100	-8.340
8.340	-9.060
8.400	-9.420
8.640	-9.840
8.700	-10.080
8.760	-10.200
POLYLINE BLACK
7.320	-5.580
POLYLINE BLACK
7.260	-5.520
POLYLINE BLACK
7.020	-11.880
7.200	-11.820
7.680	-12.000
7.860	-12.240
POLYLINE BLACK
6.780	-12.060
6.960	-11.880
7.320	-11.700
7.560	-11.700
POLYLINE BLACK
2.660	0.640
2.960	-0.260
2.960	-0.760
3.160	-1.060
3.360	-1.860
3.860	-3.360
4.260	-4.660
4.560	-5.160
4.660	-5.460
POLYLINE BLACK
7.520	-5.500
7.440	-5.460
7.280	-5.540
7.080	-5.540
7.000	-5.500
6.640	-5.580
6.240	-5.660
6.080	-5.700
5.920	-5.820
5.760	-5.860
5.600	-5.900
5.360	-5.900
5.200	-5.820
5.120	-5.860
4.840	-5.700
4.600	-5.460
4.400	-5.340
POLYLINE BLACK
3.960	-12.660
4.620	-12.660
4.980	-12.540
5.100	-12.540
5.280	-12.420
5.520	-12.420
5.640	-12.360
5.760	-12.420
6.060	-12.360
6.180	-12.240
6.420	-12.240
6.660	-12.120
6.840	-12.120
7.080	-12.000
POLYLINE BLACK
3.000	-2.820
2.940	-3.060
2.940	-3.240
