[495] Ciekawa Interessante Höhle
SURVEY NAME: 2018-08-12 - URODZINY 2
SURVEY DATE: 8 12 2018  COMMENT:   Jakub Pysz (Palm), Adam Wladzinski, Filip Filar
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT
V:1.0        V:1.1           30.68   312.40     2.65     0.00     0.00     0.00     0.00
V:1.1        V:1.2           14.07   336.91    42.76     0.00     0.00     0.00     0.00
V:1.3        V:1.2            4.56    78.27   -28.57     0.00     0.00     0.00     0.00
V:1.3        V:1.4           11.02   342.09     1.38     0.00     0.00     0.00     0.00
V:1.4        V:1.5            7.25    13.14    -6.25     0.00     0.00     0.00     0.00
V:1.5        V:1.6            8.37    10.03   -28.54     0.00     0.00     0.00     0.00
V:1.6        V:1.7           37.40   349.40    -4.08     0.00     0.00     0.00     0.00

[495] Ciekawa Interessante Höhle
SURVEY NAME: 2017-08-15 - ZAPOMNIANY KORYTARZ
SURVEY DATE: 8 15 2017  COMMENT:   Arkdiusz Kus, Slawomir Heteniak
SURVEY TEAM:

DECLINATION:     3.42  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

X:12.0       R:1.0            0.00     0.00     0.00     0.00     0.00     0.00     0.00
X:13.0       R:1.1            0.00     0.00     0.00     0.00     0.00     0.00     0.00
X:14.0       R:1.2            0.00     0.00     0.00     0.00     0.00     0.00     0.00
Y:1.3        R:1.3            0.00     0.00     0.00     0.00     0.00     0.00     0.00
Y:1.4        R:1.4            0.00     0.00     0.00     0.00     0.00     0.00     0.00
Y:1.5        R:1.5            0.00     0.00     0.00     0.00     0.00     0.00     0.00
Y:1.6        R:1.6            0.00     0.00     0.00     0.00     0.00     0.00     0.00
Y:1.7        R:1.7            0.00     0.00     0.00     0.00     0.00     0.00     0.00
Y:1.8        R:1.8            0.00     0.00     0.00     0.00     0.00     0.00     0.00
R:1.0        R:1.1           23.62   177.79     1.28     0.00     0.00     0.00     0.00
R:1.1        R:1.2           25.49   253.35    -1.09     0.00     0.00     0.00     0.00
R:1.2        R:1.3            6.89   255.13   -33.32     0.00     0.00     0.00     0.00
R:1.3        R:1.4           10.01   307.94    28.07     0.00     0.00     0.00     0.00
R:1.4        R:1.5            9.58   224.04   -18.02     0.00     0.00     0.00     0.00
R:1.5        R:1.6           15.16   155.71   -65.98     0.00     0.00     0.00     0.00
R:1.6        R:1.7           20.93   106.13   -60.49     0.00     0.00     0.00     0.00
R:1.7        R:1.8           53.58   150.16   -76.00     0.00     0.00     0.00     0.00
R:1.8        R:1.9           30.64   357.44   -23.05     0.00     0.00     0.00     0.00
R:1.9        R:1.10          19.49    73.64   -68.15     0.00     0.00     0.00     0.00
R:1.10       R:1.11          19.98    42.50   -43.82     0.00     0.00     0.00     0.00
R:1.11       R:1.12          12.37   297.16     0.03     0.00     0.00     0.00     0.00
R:1.12       R:1.13          14.67   352.30    -0.76     0.00     0.00     0.00     0.00
R:1.13       R:1.14          38.85   226.78     5.16     0.00     0.00     0.00     0.00
R:1.14       R:1.15          29.66   184.54   -22.16     0.00     0.00     0.00     0.00
R:1.15       R:1.16           9.25   244.23    -0.47     0.00     0.00     0.00     0.00
R:1.16       R:1.17           8.83   176.56     7.66     0.00     0.00     0.00     0.00
R:1.17       R:1.18          18.83   261.85    11.15     0.00     0.00     0.00     0.00
R:1.18       R:1.19          30.15   168.25    -0.33     0.00     0.00     0.00     0.00
R:1.19       R:1.20          13.09   126.69    -7.87     0.00     0.00     0.00     0.00
R:1.20       R:1.21          13.65   192.74     4.49     0.00     0.00     0.00     0.00
R:1.21       R:1.22          12.80   157.99    21.67     0.00     0.00     0.00     0.00
R:1.22       R:1.23          17.65   234.02    -6.11     0.00     0.00     0.00     0.00
R:1.23       R:1.24          11.25   165.21     8.47     0.00     0.00     0.00     0.00
R:1.24       R:1.25          12.30   203.15    -1.60     0.00     0.00     0.00     0.00
R:1.25       R:1.26          16.14   153.29     1.35     0.00     0.00     0.00     0.00
R:1.26       R:1.27          22.01    25.32    41.48     0.00     0.00     0.00     0.00
R:1.27       R:1.28           5.45    28.32   -15.91     0.00     0.00     0.00     0.00
R:1.27       R:1.29           5.45    28.22   -15.81     0.00     0.00     0.00     0.00  ;podejrzane
R:1.29       R:1.30           7.25   326.92    35.72     0.00     0.00     0.00     0.00
R:1.30       R:1.31           6.59    23.18     5.00     0.00     0.00     0.00     0.00
R:1.31       R:1.32          11.61    36.84    -5.38     0.00     0.00     0.00     0.00
R:1.32       R:1.33          10.27   146.90     4.40     0.00     0.00     0.00     0.00
