[479] Kasztanowa Kastanienhohle
SURVEY NAME: PETLA NAD DZIURAWYM KOMINEM
SURVEY DATE: 8 3 2003  COMMENT:   Marcin Kaniewski(book), Jaroslaw Jezusek(Instruments)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT
b5           b4              15.35   122.00   -45.00     0.00     0.00     0.00     0.00
b6           b5              25.20   219.00     0.00     0.00     0.00     0.00     0.00
b7           b6              13.91   202.00   -14.00     0.00     0.00     0.00     0.00
b"8          b7              20.18   123.00    13.00     0.00     0.00     0.00     0.00
b"9          b"8             19.36   108.00   -26.00     0.00     0.00     0.00     0.00
b8           b7              13.16   359.00    54.00     0.00     0.00     0.00     0.00
b9           b8              36.32   269.00    70.00     0.00     0.00     0.00     0.00
b10          b9              42.72   291.00    63.00     0.00     0.00     0.00     0.00
b11'         b10             14.44   281.00    68.00     0.00     0.00     0.00     0.00
b11          b10             15.58    40.00   -21.00     0.00     0.00     0.00     0.00
b12          b11             15.06    94.00   -79.00     0.00     0.00     0.00     0.00
b13          b12             27.07    21.00   -36.00     0.00     0.00     0.00     0.00
b14          b13             18.90    44.00   -56.00     0.00     0.00     0.00     0.00
n1           b14              6.99   123.00   -17.00     0.00     0.00     0.00     0.00
x2           n1              15.29    18.00    -9.00     0.00     0.00     0.00     0.00
x3           x2              23.69   338.00   -24.00     0.00     0.00     0.00     0.00
x4           x3              11.61    52.00   -63.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: MEANDER DO TY≥U I SALKA ZACHWYTU
SURVEY DATE: 7 31 2003  COMMENT:   Dariusz Bartoszewski(book), Jaroslaw Jezusek(tape), Maja Juniewicz(instruments)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

m11          23               4.63    93.00     4.00     0.00     0.00     0.00     0.00
m10          m11             10.24   147.00    17.00     0.00     0.00     0.00     0.00
m9           m10              3.94     0.00    90.00     0.00     0.00     0.00     0.00
m8           m9              10.17   112.00    25.00     0.00     0.00     0.00     0.00
m6           m8               5.09    26.00    11.00     0.00     0.00     0.00     0.00
m5           m6              22.38    66.00    26.00     0.00     0.00     0.00     0.00
m4           m5               4.49   157.00    11.00     0.00     0.00     0.00     0.00
m3           m4               6.23   114.00    20.00     0.00     0.00     0.00     0.00
m2           m3              10.33   135.00    28.00     0.00     0.00     0.00     0.00
m1           m2              13.48   100.00     8.00     0.00     0.00     0.00     0.00
m39          m1               4.92   118.00    17.00     0.00     0.00     0.00     0.00
m38          m39              4.43   170.00    15.00     0.00     0.00     0.00     0.00
m37          m38              7.38   112.00     6.00     0.00     0.00     0.00     0.00
m31          m37             10.66   131.00    85.00     0.00     0.00     0.00     0.00
m31          m30             31.33   221.00     0.00     0.00     0.00     0.00     0.00
m31          m33             11.78    55.00   -20.00     0.00     0.00     0.00     0.00
m33          m34              8.23   312.00    -2.00     0.00     0.00     0.00     0.00
m34          m35             16.34    42.00   -18.00     0.00     0.00     0.00     0.00
m35          m36             41.50     0.00   -90.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: KORYTARZ Z WODπ DO STUDNI ST≥UCZONEGO TY
SURVEY DATE: 8 3 2003  COMMENT:   Dariusz Bartoszewski(book), Rafal Mateja(instruments)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

n36          p8               7.48   211.00     9.00     0.00     0.00     0.00     0.00
p8           p7              25.30   208.00     1.00     0.00     0.00     0.00     0.00
p7           p6              11.88   162.00    -2.00     0.00     0.00     0.00     0.00
p6           p5              32.74   197.00     1.00     0.00     0.00     0.00     0.00
p5           p4              65.81   186.00     0.00     0.00     0.00     0.00     0.00
p4           p3               4.33    61.00   -11.00     0.00     0.00     0.00     0.00
p3           p2              28.18   184.00     0.00     0.00     0.00     0.00     0.00
p2           p1              39.50   205.00    12.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: OBEJúCIE GÛRπ OD STUDNI ST≥UCZONEGO TY≥K
SURVEY DATE: 8 3 2003  COMMENT:   Dariusz Bartoszewski(book), Maja Juniewicz(instruments)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

n37          on1             16.14   282.00    42.00     0.00     0.00     0.00     0.00
on1          on2             31.79     2.00    18.00     0.00     0.00     0.00     0.00
on2          on3             20.70    17.00     7.00     0.00     0.00     0.00     0.00
on3          on4             21.13    48.00   -21.00     0.00     0.00     0.00     0.00
on4          on5              5.58    52.00    -2.00     0.00     0.00     0.00     0.00
on5          on6             28.22    22.00   -62.00     0.00     0.00     0.00     0.00
on6          on7             66.27   133.00   -65.00     0.00     0.00     0.00     0.00
on7          n27              8.63   104.00   -31.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: CIπG G≥ÛWNY OD STUDNI KRYSZTA≥OWEJ DO SA
SURVEY DATE: 8 3 2003  COMMENT:   Dariusz Bartoszewski(book), Jaroslaw Jezusek(tape), Maja Juniewicz(instruments)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

